KINDRED	PROPN	KINDRED
of	ADP	of
their	PRON	their
own	ADJ	own
prudence	NOUN	prudence
and	CCONJ	and
foresight	NOUN	foresight
.	PUNCT	.
Thus	ADV	thus
,	PUNCT	,
in	ADP	in
the	DET	the
course	NOUN	course
of	ADP	of
ten	NUM	ten
years	NOUN	year
,	PUNCT	,
Hector	PROPN	Hector
McKaye	PROPN	McKaye
'	PART	'
acquired	VERB	acquire
ten	NUM	ten
thousand	NUM	thousand
acres	NOUN	acre
of	ADP	of
splendid	ADJ	splendid
Douglas	PROPN	Douglas
fir	NOUN	fir
and	CCONJ	and
white	ADJ	white
cedar	NOUN	cedar
.	PUNCT	.
But	CCONJ	but
he	PRON	he
had	AUX	have
not	PART	not
been	AUX	be
successful	ADJ	successful
in	ADP	in
acquiring	VERB	acquire
claims	NOUN	claim
along	ADP	along
the	DET	the
south	ADJ	south
bank	NOUN	bank
of	ADP	of
the	DET	the
Skookum	PROPN	Skookum
.	PUNCT	.
For	ADP	for
some	DET	some
mysterious	ADJ	mysterious
reason	NOUN	reason
,	PUNCT	,
he	PRON	he
soon	ADV	soon
found	VERB	find
claims	NOUN	claim
on	ADP	on
the	DET	the
north	ADJ	north
bank	NOUN	bank
cheaper	ADJ	cheap
and	CCONJ	and
easier	ADJ	easy
to	PART	to
secure	VERB	secure
,	PUNCT	,
albeit	SCONJ	albeit
the	DET	the
timber	NOUN	timber
showed	VERB	show
no	DET	no
variance	NOUN	variance
in	ADP	in
quantity	NOUN	quantity
or	CCONJ	or
quality	NOUN	quality
.	PUNCT	.
Discreet	ADJ	discreet
investigations	NOUN	investigation
brought	VERB	bring
to	ADP	to
light	VERB	light
the	DET	the
fact	NOUN	fact
that	SCONJ	that
he	PRON	he
had	AUX	have
a	DET	a
competitor	NOUN	competitor
--	PUNCT	--
one	NUM	one
Martin	PROPN	Martin
Darrow	PROPN	Darrow
,	PUNCT	,
who	PRON	who
dwelt	VERB	dwell
in	ADP	in
St.	PROPN	St.
Paul	PROPN	Paul
,	PUNCT	,
Minnesota	PROPN	Minnesota
.	PUNCT	.
To	ADP	to
St.	PROPN	St.
Paul	PROPN	Paul
,	PUNCT	,
therefore	ADV	therefore
,	PUNCT	,
journeyed	VERB	journey
Hector	PROPN	Hector
McKaye	PROPN	McKaye
,	PUNCT	,
and	CCONJ	and
sought	VERB	seek
an	DET	an
audience	NOUN	audience
with	ADP	with
Martin	PROPN	Martin
Darrow	PROPN	Darrow
.	PUNCT	.
""""	PUNCT	""""
I	PRON	I
'm	AUX	be
McKaye	PROPN	McKaye
,	PUNCT	,
from	ADP	from
the	DET	the
Skookum	PROPN	Skookum
River	PROPN	River
,	PUNCT	,
Washington	PROPN	Washington
,	PUNCT	,
""""	PUNCT	""""
he	PRON	he
announced	VERB	announce
,	PUNCT	,
without	ADP	without
preamble	NOUN	preamble
.	PUNCT	.
""""	PUNCT	""""
I	PRON	I
've	AUX	have
been	AUX	be
expecting	VERB	expect
you	PRON	you
,	PUNCT	,
Mr.	PROPN	Mr.
McKaye	PROPN	McKaye
,	PUNCT	,
""""	PUNCT	""""
Darrow	PROPN	Darrow
