Keeper	NOUN	keeper
until	ADP	until
the	DET	the
emerging	VERB	emerge
occupants	NOUN	occupant
of	ADP	of
the	DET	the
Venusian	ADJ	venusian
ship	NOUN	ship
grew	VERB	grow
on	ADP	on
the	DET	the
screen	NOUN	screen
to	ADP	to
life	NOUN	life
-	PUNCT	-
size	NOUN	size
.	PUNCT	.
With	ADP	with
infinite	ADJ	infinite
care	NOUN	care
he	PRON	he
studied	VERB	study
and	CCONJ	and
analyzed	VERB	analyze
their	PRON	their
faces	NOUN	face
,	PUNCT	,
their	PRON	their
exquisite	ADJ	exquisite
fragile	ADJ	fragile
bodies	NOUN	body
with	ADP	with
the	DET	the
long	ADJ	long
,	PUNCT	,
membranous	ADJ	membranous
wings	NOUN	wing
;	PUNCT	;
noted	VERB	note
the	DET	the
almost	ADV	almost
imperceptible	ADJ	imperceptible
shadow	NOUN	shadow
of	ADP	of
baffled	ADJ	baffled
apprehension	NOUN	apprehension
beneath	ADP	beneath
the	DET	the
mask	NOUN	mask
of	ADP	of
imperturbability	NOUN	imperturbability
,	PUNCT	,
and	CCONJ	and
found	VERB	find
--	PUNCT	--
nothing	PRON	nothing
.	PUNCT	.
But	CCONJ	but
that	DET	that
was	AUX	be
to	PART	to
be	AUX	be
expected	VERB	expect
.	PUNCT	.
After	ADV	after
all	ADV	all
,	PUNCT	,
of	ADP	of
all	DET	all
the	NOUN	the
planets	NOUN	planet
,	PUNCT	,
Venus	PROPN	Venus
was	AUX	be
the	DET	the
least	ADJ	least
warlike	ADJ	warlike
,	PUNCT	,
which	DET	which
was	AUX	be
fortunate	ADJ	fortunate
indeed	ADV	indeed
.	PUNCT	.
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
The	DET	the
tall	ADJ	tall
,	PUNCT	,
rangy	ADJ	rangy
Europans	PROPN	Europans
,	PUNCT	,
offspring	NOUN	offspring
of	ADP	of
Terran	ADJ	terran
colonists	NOUN	colonist
,	PUNCT	,
with	ADP	with
their	PRON	their
strange	ADJ	strange
,	PUNCT	,
silver	NOUN	silver
-	PUNCT	-
furred	ADJ	furred
Panadur	PROPN	Panadur
co	NOUN	co
-	NOUN	-
rulers	NOUN	ruler
,	PUNCT	,
came	VERB	come
next	ADV	next
.	PUNCT	.
Bill	PROPN	Bill
lingered	VERB	linger
over	ADP	over
the	DET	the
Panadur	PROPN	Panadur
leader	NOUN	leader
,	PUNCT	,
so	ADV	so
strangely	ADV	strangely
human	ADJ	human
in	ADP	in
his	PRON	his
four	NUM	four
feet	NOUN	foot
of	ADP	of
upright	ADJ	upright
,	PUNCT	,
slender	ADJ	slender
body	NOUN	body
,	PUNCT	,
completely	ADV	completely
furred	ADJ	furred
in	ADP	in
gleaming	VERB	gleam
silver	ADJ	silver
fur	NOUN	fur
to	ADP	to
the	DET	the
very	ADJ	very
throat	NOUN	throat
-	PUNCT	-
line	NOUN	line
,	PUNCT	,
with	ADP	with
the	DET	the
delicate	ADJ	delicate
triangular	ADJ	triangular
face	NOUN	face
