PEOPLE	NOUN	PEOPLE
give	VERB	give
the	DET	the
papers	NOUN	paper
you	PRON	you
have	AUX	have
just	ADV	just
received	VERB	receive
from	ADP	from
M.	PROPN	M.
Dagara	PROPN	Dagara
?	PUNCT	?
'	PUNCT	'
”	PUNCT	""""
(	PUNCT	(
Page	NOUN	page
193	NUM	193
.	PUNCT	.
)	PUNCT	)
]	X	]
IN	ADP	in
THE	DET	the
NAME	NOUN	name
OF	ADP	of
THE	DET	the
PEOPLE	NOUN	PEOPLE
By	ADP	by
ARTHUR	PROPN	ARTHUR
W.	PROPN	W.
MARCHMONT	PROPN	MARCHMONT
_	PUNCT	_
Author	NOUN	author
of	ADP	of
“	PUNCT	""""
When	SCONJ	when
I	PRON	I
was	AUX	be
Czar	PROPN	Czar
,	PUNCT	,
”	PUNCT	""""
“	PUNCT	""""
The	DET	the
Queen	PROPN	Queen
's	PART	's
Advocate	PROPN	Advocate
,	PUNCT	,
”	PUNCT	""""
etc	X	etc
.	X	.
,	PUNCT	,
etc	X	etc
.	X	.
_	PUNCT	_
_	PUNCT	_
ILLUSTRATED	PROPN	ILLUSTRATED
_	PUNCT	_
WARD	PROPN	WARD
,	PUNCT	,
LOCK	PROPN	LOCK
&	CCONJ	&
CO	PROPN	CO
.	PROPN	.
,	PUNCT	,
LIMITED	PROPN	LIMITED
LONDON	PROPN	LONDON
,	PUNCT	,
MELBOURNE	PROPN	MELBOURNE
AND	CCONJ	and
TORONTO	PROPN	TORONTO
1911	NUM	1911
CONTENTS	NOUN	content
CHAP	PROPN	CHAP
.	PUNCT	.
PAGE	PROPN	PAGE
I	PROPN	I
AN	DET	an
UNPROPITIOUS	ADJ	unpropitious
START	NOUN	start
9	NUM	9
II	NUM	ii
DEVELOPMENTS	NOUN	development
18	NUM	18
III	NUM	iii
THE	DET	the
RECEPTION	NOUN	reception
28	NUM	28
IV	PROPN	IV
MIRALDA	PROPN	MIRALDA
38	NUM	38
V	PROPN	V
INEZ	PROPN	INEZ
49	NUM	49
VI	PROPN	VI
DR	NOUN	dr
.	PUNCT	.
BAROSA	PROPN	BAROSA
59	NUM	59
VII	NUM	vii
SAMPAYO	NOUN	sampayo
IS	AUX	be
UNEASY	ADJ	uneasy
70	NUM	70
VIII	NUM	viii
MIRALDA	PROPN	MIRALDA
'S	PROPN	'S
MASK	NOUN	mask
79	NUM	79
IX	NUM	ix
THE	DET	the
INTERROGATION	NOUN	interrogation
90	NUM	90
X	NOUN	x
A	DET	a
DRASTIC	ADJ	drastic
TEST	NOUN	test
100	NUM	100
XI	NOUN	xi
POLICE	NOUN	police
METHODS	NOUN	method
110	NUM	110
XII	NUM	xii
THE	DET	the
REAL	ADJ	real
“	PUNCT	""""
M.D.	NOUN	m.d.
”	PUNCT	""""
121	NUM	121
XIII	NUM	xiii
MIRALDA	PROPN	MIRALDA
'S	PART	's
CONFIDENCE	NOUN	confidence
132	NUM	132
XIV	NOUN	xiv
ALONE	X	alone
WITH	ADP	with
SAMPAYO	PROPN	SAMPAYO
143	NUM	143
XV	PROPN	XV
IN	ADP	in
THE	DET	the
FLUSH	NOUN	flush
OF	ADP	of
SUCCESS	NOUN	success
151	NUM	151
XVI	PROPN	XVI
BAROSA	PROPN	BAROSA
'S	PROPN	'S
SECRET	NOUN	secret
161	NUM	161
XVII	NUM	xvii
A	DET	a
LITTLE	ADJ	little
CHESS	NOUN	chess
PROBLEM	NOUN	problem
172	NUM	172
XVIII	PROPN	XVIII
DAGARA	PROPN	DAGARA
'S	PROPN	'S
STORY	NOUN	story
180	NUM	180
XIX	NUM	xix
SPY	NOUN	spy
WORK	NOUN	work
190	NUM	190
