GRAY	PROPN	GRAY
could	AUX	could
tell	VERB	tell
with	ADP	with
certainty	NOUN	certainty
that	SCONJ	that
the	DET	the
man	NOUN	man
in	ADP	in
uniform	NOUN	uniform
was	AUX	be
a	DET	a
Patrolman	PROPN	Patrolman
and	CCONJ	and
not	PART	not
an	DET	an
outlaw	NOUN	outlaw
in	NOUN	in
disguise	NOUN	disguise
.	PUNCT	.
The	DET	the
second	ADJ	second
difficulty	NOUN	difficulty
was	AUX	be
overcome	VERB	overcome
first	ADV	first
.	PUNCT	.
One	NUM	one
old	ADJ	old
-	PUNCT	-
time	NOUN	time
Patrolman	PROPN	Patrolman
had	AUX	have
heard	VERB	hear
of	ADP	of
the	DET	the
Arisians	PROPN	Arisians
.	PUNCT	.
He	PRON	he
visited	VERB	visit
their	PRON	their
planet	NOUN	planet
and	CCONJ	and
--	PUNCT	--
this	DET	this
should	AUX	should
be	AUX	be
a	PROPN	a
saga	PROPN	saga
by	ADP	by
itself	PRON	itself
--	PUNCT	--
persuaded	VERB	persuade
those	DET	those
Masters	PROPN	Masters
of	ADP	of
Mentality	PROPN	Mentality
that	SCONJ	that
they	PRON	they
should	AUX	should
help	VERB	help
right	NOUN	right
against	ADP	against
wrong	NOUN	wrong
,	PUNCT	,
at	ADP	at
least	ADJ	least
to	ADP	to
the	DET	the
extent	NOUN	extent
of	ADP	of
furnishing	VERB	furnish
a	DET	a
positive	ADJ	positive
means	NOUN	mean
of	ADP	of
identification	NOUN	identification
.	PUNCT	.
They	PRON	they
did	AUX	do
,	PUNCT	,
and	CCONJ	and
still	ADV	still
do	AUX	do
--	PUNCT	--
The	DET	the
Lens	PROPN	Lens
.	PUNCT	.
Each	DET	each
being	NOUN	being
about	ADJ	about
to	PART	to
graduate	VERB	graduate
as	ADP	as
a	DET	a
Lensman	PROPN	Lensman
is	AUX	be
sent	VERB	send
to	ADP	to
Arisia	PROPN	Arisia
;	PUNCT	;
where	SCONJ	where
,	PUNCT	,
although	SCONJ	although
the	DET	the
candidate	NOUN	candidate
does	AUX	do
not	PART	not
then	ADV	then
know	VERB	know
it	PRON	it
,	PUNCT	,
a	DET	a
Lens	PROPN	Lens
--	PUNCT	--
a	DET	a
lenticular	NOUN	lenticular
jewel	NOUN	jewel
composed	VERB	compose
of	ADP	of
thousands	NOUN	thousand
of	ADP	of
tiny	ADJ	tiny
crystalloids	NOUN	crystalloid
--	PUNCT	--
is	AUX	be
built	VERB	build
to	PART	to
match	VERB	match
his	PRON	his
individual	ADJ	individual
life	NOUN	life
force	NOUN	force
.	PUNCT	.
While	SCONJ	while
no	DET	no
mind	NOUN	mind
other	ADJ	other
than	ADP	than
that	DET	that
of	ADP	of
an	DET	an
Arisian	PROPN	Arisian
can	AUX	can
understand	VERB	understand
its	PRON	its
functioning	NOUN	functioning
,	PUNCT	,
thinking	VERB	think
of	ADP	of
the	DET	the
Lens	PROPN	Lens
as	ADP	as
being	AUX	be
synchronized	VERB	synchronize
with	ADP	with
,	PUNCT	,
or	CCONJ	or
in	ADP	in
exact	ADJ	exact
resonance	NOUN	resonance
with	ADP	with
the	DET	the
life	NOUN	life
principle	NOUN	principle
--	PUNCT	--
personality	NOUN	personality
,	PUNCT	,
ego	NOUN	ego
,	PUNCT	,
call	VERB	call
it	PRON	it
what	PRON	what
you	PRON	you
will	AUX	will
--	PUNCT	--
of	ADP	of
its	PRON	its
owner	NOUN	owner
will	AUX	will
give	VERB	give
a	DET	a
rough	ADJ	rough
idea	NOUN	idea
of	ADP	of
it	PRON	it
.	PUNCT	.
It	PRON	it
is	AUX	be
not	PART	not
really	ADV	really
alive	ADJ	alive
,	PUNCT	,
as	ADP	as
we	PRON	we
understand	VERB	understand
the	DET	the
term	NOUN	term
.	PUNCT	.
It	PRON	it
is	AUX	be
,	PUNCT	,
however	ADV	however
,	PUNCT	,
endowed	VERB	endow
with	ADP	with
a	DET	a
sort	NOUN	sort
of	ADP	of
pseudolife	NOUN	pseudolife
,	PUNCT	,
by	ADP	by
virtue	NOUN	virtue
of	ADP	of
which	DET	which
it	PRON	it
gives	VERB	give
off	ADP	off
its	PRON	its
strong	ADJ	strong
,	PUNCT	,
characteristically	ADV	characteristically
changing	VERB	change
,	PUNCT	,
polychromatic	ADJ	polychromatic
light	NOUN	light
as	ADV	as
long	ADV	long
as	ADP	as
it	PRON	it
is	AUX	be
in	ADP	in
circuit	NOUN	circuit
with	ADP	with
the	DET	the
living	VERB	live
mentality	NOUN	mentality
for	ADP	for
which	DET	which
it	PRON	it
was	AUX	be
designed	VERB	design
.	PUNCT	.
It	PRON	it
is	AUX	be
inimitable	ADJ	inimitable
,	PUNCT	,
unforgettable	ADJ	unforgettable
.	PUNCT	.
Anyone	PRON	anyone
who	PRON	who
has	AUX	have
ever	ADV	ever
seen	VERB	see
a	DET	a
Lens	PROPN	Lens
,	PUNCT	,
or	CCONJ	or
even	ADV	even
a	DET	a
picture	NOUN	picture
of	ADP	of
one	NUM	one
,	PUNCT	,
will	AUX	will
never	ADV	never
forget	VERB	forget
it	PRON	it
;	PUNCT	;
nor	CCONJ	nor
will	AUX	will
he	PRON	he
ever	ADV	ever
be	AUX	be
deceived	VERB	deceive
by	ADP	by
any	DET	any
possible	ADJ	possible
counterfeit	NOUN	counterfeit
or	CCONJ	or
imitation	NOUN	imitation
of	ADP	of
it	PRON	it
.	PUNCT	.
The	DET	the
Lens	PROPN	Lens
can	AUX	can
not	PART	not
be	AUX	be
removed	VERB	remove
by	ADP	by
anyone	PRON	anyone
except	SCONJ	except
its	PRON	its
wearer	NOUN	wearer
without	ADP	without
actual	ADJ	actual
dismemberment	NOUN	dismemberment
of	ADP	of
that	DET	that
wearer	NOUN	wearer
;	PUNCT	;
it	PRON	it
shines	VERB	shine
as	ADV	as
long	ADV	long
as	ADP	as
its	PRON	its
rightful	ADJ	rightful
owner	NOUN	owner
wears	VERB	wear
it	PRON	it
,	PUNCT	,
and	CCONJ	and
in	ADP	in
the	DET	the
instant	NOUN	instant
of	ADP	of
its	PRON	its
owner	NOUN	owner
's	PART	's
death	NOUN	death
,	PUNCT	,
it	PRON	it
ceases	VERB	cease
forever	ADV	forever
to	PART	to
shine	VERB	shine
.	PUNCT	.
And	CCONJ	and
not	PART	not
only	ADV	only
does	AUX	do
a	DET	a
Lens	PROPN	Lens
refuse	VERB	refuse
to	PART	to
shine	VERB	shine
if	SCONJ	if
any	DET	any
impostor	NOUN	impostor
attempts	VERB	attempt
to	PART	to
wear	VERB	wear
it	PRON	it
--	PUNCT	--
any	DET	any
Lens	PROPN	Lens
not	PART	not
in	ADP	in
circuit	NOUN	circuit
with	ADP	with
its	PRON	its
owner	NOUN	owner
kills	VERB	kill
