Proofreaders	NOUN	proofreader
sheen	NOUN	sheen
and	CCONJ	and
gloom	NOUN	gloom
.	PUNCT	.
Flemish	ADJ	flemish
sepulchral	ADJ	sepulchral
brasses	NOUN	brass
companied	VERB	companie
strangely	ADV	strangely
with	ADP	with
runic	ADJ	runic
tablets	NOUN	tablet
,	PUNCT	,
miniature	ADJ	miniature
paintings	NOUN	painting
,	PUNCT	,
a	DET	a
winged	ADJ	winged
bull	NOUN	bull
,	PUNCT	,
Tamil	ADJ	tamil
scriptures	NOUN	scripture
on	ADP	on
lacquered	ADJ	lacquered
leaves	NOUN	leave
of	ADP	of
the	DET	the
talipot	NOUN	talipot
,	PUNCT	,
mediaeval	ADJ	mediaeval
reliquaries	NOUN	reliquary
richly	ADV	richly
gemmed	VERB	gem
,	PUNCT	,
Brahmin	PROPN	Brahmin
gods	NOUN	god
.	PUNCT	.
One	NUM	one
whole	ADJ	whole
side	NOUN	side
of	ADP	of
the	DET	the
room	NOUN	room
was	AUX	be
occupied	VERB	occupy
by	ADP	by
an	DET	an
organ	NOUN	organ
whose	DET	whose
thunder	NOUN	thunder
in	NOUN	in
that	DET	that
circumscribed	ADJ	circumscribed
place	NOUN	place
must	AUX	must
have	AUX	have
set	VERB	set
all	DET	all
these	DET	these
relics	NOUN	relic
of	ADP	of
dead	ADJ	dead
epochs	NOUN	epoch
clashing	VERB	clash
and	CCONJ	and
jingling	VERB	jingle
in	ADP	in
fantastic	ADJ	fantastic
dances	NOUN	dance
.	PUNCT	.
As	ADP	as
I	PRON	I
entered	VERB	enter
,	PUNCT	,
the	DET	the
vaporous	ADJ	vaporous
atmosphere	NOUN	atmosphere
was	AUX	be
palpitating	VERB	palpitate
to	ADP	to
the	DET	the
low	ADJ	low
,	PUNCT	,
liquid	ADJ	liquid
tinkling	NOUN	tinkling
of	ADP	of
an	DET	an
invisible	ADJ	invisible
musical	ADJ	musical
box	NOUN	box
.	PUNCT	.
The	DET	the
prince	NOUN	prince
reclined	VERB	recline
on	ADP	on
a	DET	a
couch	NOUN	couch
from	ADP	from
which	DET	which
a	DET	a
draping	NOUN	draping
of	ADP	of
cloth	NOUN	cloth
-	PUNCT	-
of	ADP	of
-	PUNCT	-
silver	NOUN	silver
rolled	VERB	roll
torrent	NOUN	torrent
over	ADP	over
the	DET	the
floor	NOUN	floor
.	PUNCT	.
Beside	ADP	beside
him	PRON	he
,	PUNCT	,
stretched	VERB	stretch
in	ADP	in
its	PRON	its
open	ADJ	open
sarcophagus	NOUN	sarcophagus
which	DET	which
rested	VERB	rest
on	ADP	on
three	NUM	three
brazen	NOUN	brazen
trestles	NOUN	trestle
,	PUNCT	,
lay	VERB	lie
the	DET	the
mummy	NOUN	mummy
of	ADP	of
an	DET	an
ancient	ADJ	ancient
Memphian	PROPN	Memphian
,	PUNCT	,
from	ADP	from
the	DET	the
upper	ADJ	upper
part	NOUN	part
of	ADP	of
which	DET	which
the	DET	the
brown	ADJ	brown
cerements	NOUN	cerement
had	AUX	have
rotted	VERB	rot
or	CCONJ	or
been	AUX	be
rent	VERB	rend
,	PUNCT	,
leaving	VERB	leave
the	DET	the
hideousness	NOUN	hideousness
of	ADP	of
the	DET	the
naked	ADJ	naked
,	PUNCT	,
grinning	VERB	grin
countenance	NOUN	countenance
exposed	VERB	expose
to	ADP	to
view	NOUN	view
.	PUNCT	.
Discarding	VERB	discard
his	PRON	his
gemmed	ADJ	gemmed
chibouque	NOUN	chibouque
and	CCONJ	and
an	DET	an
old	ADJ	old
vellum	ADJ	vellum
reprint	NOUN	reprint
of	ADP	of
Anacreon	PROPN	Anacreon
,	PUNCT	,
Zaleski	PROPN	Zaleski
rose	VERB	rise
hastily	ADV	hastily
and	CCONJ	and
