cruel	ADJ	cruel
blow	NOUN	blow
that	PRON	that
had	AUX	have
fallen	VERB	fall
two	NUM	two
years	NOUN	year
before	ADV	before
and	CCONJ	and
resulted	VERB	result
,	PUNCT	,
no	DET	no
one	NOUN	one
understood	VERB	understand
why	SCONJ	why
,	PUNCT	,
in	ADP	in
his	PRON	his
leaving	VERB	leave
the	DET	the
Paris	PROPN	Paris
detective	NOUN	detective
force	NOUN	force
at	ADP	at
the	DET	the
very	ADJ	very
moment	NOUN	moment
of	ADP	of
his	PRON	his
glory	NOUN	glory
,	PUNCT	,
when	SCONJ	when
the	DET	the
whole	ADJ	whole
city	NOUN	city
was	AUX	be
praising	VERB	praise
him	PRON	he
for	ADP	for
the	DET	the
St.	PROPN	St.
Germain	PROPN	Germain
investigation	NOUN	investigation
.	PUNCT	.
_	PUNCT	_
Beau	PROPN	Beau
Cocono	PROPN	Cocono
!	PUNCT	!
_	PUNCT	_
That	DET	that
was	AUX	be
the	DET	the
name	NOUN	name
they	PRON	they
had	AUX	have
given	VERB	give
him	PRON	he
;	PUNCT	;
he	PRON	he
could	AUX	could
hear	VERB	hear
the	DET	the
night	NOUN	night
crowds	NOUN	crowd
shouting	VERB	shout
it	PRON	it
in	ADP	in
a	DET	a
silly	ADJ	silly
couplet	NOUN	couplet
:	PUNCT	:
Il	X	il
nous	X	nous
faut	X	faut
-	PUNCT	-
o	X	o
Beau	PROPN	Beau
Cocono	PROPN	Cocono
-	PUNCT	-
o	X	o
!	PUNCT	!
And	CCONJ	and
then	ADV	then
what	PRON	what
a	DET	a
change	NOUN	change
within	ADP	within
a	DET	a
week	NOUN	week
!	PUNCT	!
What	DET	what
bitterness	NOUN	bitterness
and	CCONJ	and
humiliation	NOUN	humiliation
!	PUNCT	!
M.	PROPN	M.
Paul	PROPN	Paul
Coquenil	PROPN	Coquenil
,	PUNCT	,
after	ADP	after
scores	NOUN	score
of	ADP	of
brilliant	ADJ	brilliant
successes	NOUN	success
,	PUNCT	,
had	AUX	have
withdrawn	VERB	withdraw
from	ADP	from
the	DET	the
police	ADJ	police
force	NOUN	force
for	ADP	for
personal	ADJ	personal
reasons	NOUN	reason
,	PUNCT	,
said	VERB	say
the	DET	the
newspapers	NOUN	newspaper
.	PUNCT	.
His	PRON	his
health	NOUN	health
was	AUX	be
affected	ADJ	affected
,	PUNCT	,
some	DET	some
declared	VERB	declare
;	PUNCT	;
he	PRON	he
had	AUX	have
laid	VERB	lay
by	ADP	by
a	DET	a
