a	DET	a
mind	NOUN	mind
surrendered	VERB	surrender
,	PUNCT	,
all	DET	all
the	DET	the
crooked	ADJ	crooked
little	ADJ	little
motives	NOUN	motive
that	PRON	that
have	AUX	have
fired	VERB	fire
the	DET	the
guns	NOUN	gun
of	ADP	of
life	NOUN	life
revealed	VERB	reveal
in	ADP	in
their	PRON	their
pitifulness	NOUN	pitifulness
.	PUNCT	.
Gradually	ADV	gradually
I	PRON	I
had	AUX	have
come	VERB	come
to	PART	to
see	VERB	see
that	SCONJ	that
Mr.	PROPN	Mr.
Patton	PROPN	Patton
's	PART	's
point	NOUN	point
of	ADP	of
view	NOUN	view
was	AUX	be
right	ADJ	right
;	PUNCT	;
that	SCONJ	that
if	SCONJ	if
the	DET	the
criminal	NOUN	criminal
uses	VERB	use
every	DET	every
means	NOUN	mean
against	ADP	against
society	NOUN	society
,	PUNCT	,
why	SCONJ	why
not	PART	not
society	NOUN	society
against	ADP	against
the	DET	the
criminal	NOUN	criminal
?	PUNCT	?
At	ADP	at
first	ADV	first
I	PRON	I
had	AUX	have
used	VERB	use
this	DET	this
as	ADP	as
a	DET	a
flag	NOUN	flag
of	ADP	of
truce	NOUN	truce
to	ADP	to
my	PRON	my
nurse	NOUN	nurse
's	PART	's
ethical	ADJ	ethical
training	NOUN	training
;	PUNCT	;
now	ADV	now
I	PRON	I
flaunted	VERB	flaunt
it	PRON	it
,	PUNCT	,
a	DET	a
mental	ADJ	mental
and	CCONJ	and
moral	ADJ	moral
banner	NOUN	banner
.	PUNCT	.
The	DET	the
criminal	ADJ	criminal
against	ADP	against
society	NOUN	society
,	PUNCT	,
and	CCONJ	and
I	PRON	I
against	ADP	against
the	DET	the
criminal	NOUN	criminal
!	PUNCT	!
And	CCONJ	and
,	PUNCT	,
more	ADV	more
than	ADP	than
that	DET	that
,	PUNCT	,
against	ADP	against
misery	NOUN	misery
,	PUNCT	,
healing	VERB	heal
pain	NOUN	pain
by	ADP	by
augmenting	VERB	augment
it	PRON	it
sometimes	ADV	sometimes
,	PUNCT	,
but	CCONJ	but
working	VERB	work
like	ADP	like
a	DET	a
surgeon	NOUN	surgeon
,	PUNCT	,
for	ADP	for
good	ADJ	good
.	PUNCT	.
I	PRON	I
had	AUX	have
had	AUX	have
six	NUM	six
cases	NOUN	case
in	ADP	in
six	NUM	six
months	NOUN	month
.	PUNCT	.
Only	ADV	only
in	ADP	in
one	NUM	one
had	AUX	have
I	PRON	I
failed	VERB	fail
to	PART	to
land	VERB	land
my	PRON	my
criminal	NOUN	criminal
,	PUNCT	,
and	CCONJ	and
that	DET	that
without	ADP	without
any	DET	any
suspicion	NOUN	suspicion
of	ADP	of
my	PRON	my
white	ADJ	white
uniform	NOUN	uniform
and	CCONJ	and
rubber	NOUN	rubber
-	PUNCT	-
soled	ADJ	soled
shoes	NOUN	shoe
.	PUNCT	.
Although	SCONJ	although
I	PRON	I
played	VERB	play
a	DET	a
double	ADJ	double
game	NOUN	game
no	DET	no
patient	NOUN	patient
of	ADP	of
mine	ADJ	mine
had	AUX	have
suffered	VERB	suffer
.	PUNCT	.
I	PRON	I
was	AUX	be
a	DET	a
nurse	NOUN	nurse
first	ADV	first
and	CCONJ	and
a	DET	a
police	NOUN	police
agent	NOUN	agent
second	ADV	second
.	PUNCT	.
If	SCONJ	if
it	PRON	it
was	AUX	be
a	DET	a
question	NOUN	question
between	ADP	between
turpentine	ADJ	turpentine
compresses	NOUN	compress
—	PUNCT	—
stupes	NOUN	stupe
,	PUNCT	,
professionally	ADV	professionally
—	PUNCT	—
and	CCONJ	and
seeing	VERB	see
what	DET	what
letters	NOUN	letter
came	VERB	come
in	ADV	in
or	CCONJ	or
