LORD	NOUN	lord
simplest	ADJ	simple
social	NOUN	social
order	NOUN	order
.	PUNCT	.
But	CCONJ	but
he	PRON	he
was	AUX	be
right	ADJ	right
,	PUNCT	,
it	PRON	it
seemed	VERB	seem
.	PUNCT	.
After	ADP	after
the	DET	the
fall	NOUN	fall
of	ADP	of
the	DET	the
French	PROPN	French
Church	PROPN	Church
at	ADP	at
the	DET	the
beginning	NOUN	beginning
of	ADP	of
the	DET	the
century	NOUN	century
and	CCONJ	and
the	DET	the
massacres	NOUN	massacre
of	ADP	of
1914	NUM	1914
,	PUNCT	,
the	DET	the
bourgeoisie	X	bourgeoisie
settled	VERB	settle
down	ADP	down
to	PART	to
organise	VERB	organise
itself	PRON	itself
;	PUNCT	;
and	CCONJ	and
that	DET	that
extraordinary	NOUN	extraordinary
movement	NOUN	movement
began	VERB	begin
in	ADP	in
earnest	ADJ	earnest
,	PUNCT	,
pushed	VERB	push
through	ADP	through
by	ADP	by
the	DET	the
middle	ADJ	middle
classes	NOUN	class
,	PUNCT	,
with	ADP	with
no	DET	no
patriotism	NOUN	patriotism
,	PUNCT	,
no	DET	no
class	NOUN	class
distinctions	NOUN	distinction
,	PUNCT	,
practically	ADV	practically
no	DET	no
army	NOUN	army
.	PUNCT	.
Of	ADV	of
course	ADV	course
,	PUNCT	,
Freemasonry	PROPN	Freemasonry
directed	VERB	direct
it	PRON	it
all	DET	all
.	PUNCT	.
This	DET	this
spread	VERB	spread
to	ADP	to
Germany	PROPN	Germany
,	PUNCT	,
where	SCONJ	where
the	DET	the
influence	NOUN	influence
of	ADP	of
Karl	PROPN	Karl
Marx	PROPN	Marx
had	AUX	have
already---	PUNCT	already---
”	PUNCT	""""
“	PUNCT	""""
Yes	INTJ	yes
,	PUNCT	,
sir	NOUN	sir
,	PUNCT	,
”	PUNCT	""""
put	VERB	put
in	ADP	in
Percy	PROPN	Percy
smoothly	ADV	smoothly
,	PUNCT	,
“	PUNCT	""""
but	CCONJ	but
what	PRON	what
of	ADP	of
England	PROPN	England
,	PUNCT	,
if	SCONJ	if
you	PRON	you
do	AUX	do
n't	PART	not
mind---	VERB	mind---
”	PUNCT	""""
“	PUNCT	""""
Ah	INTJ	ah
,	PUNCT	,
yes	INTJ	yes
;	PUNCT	;
England	PROPN	England
.	PUNCT	.
Well	INTJ	well
,	PUNCT	,
in	ADP	in
1917	NUM	1917
the	DET	the
Labour	PROPN	Labour
party	NOUN	party
gathered	VERB	gather
up	ADP	up
the	DET	the
reins	NOUN	rein
,	PUNCT	,
and	CCONJ	and
Communism	PROPN	Communism
really	ADV	really
began	VERB	begin
.	PUNCT	.
That	DET	that
was	AUX	be
long	ADV	long
before	ADP	before
I	PRON	I
can	AUX	can
remember	VERB	remember
,	PUNCT	,
of	ADV	of
course	ADV	course
,	PUNCT	,
but	CCONJ	but
my	PRON	my
father	NOUN	father
used	VERB	use
to	PART	to
date	VERB	date
it	PRON	it
from	ADP	from
then	ADV	then
.	PUNCT	.
The	DET	the
only	ADJ	only
wonder	NOUN	wonder
was	AUX	be
that	SCONJ	that
things	NOUN	thing
did	AUX	do
not	PART	not
go	VERB	go
forward	ADV	forward
more	ADV	more
quickly	ADV	quickly
;	PUNCT	;
but	CCONJ	but
I	PRON	I
suppose	VERB	suppose
there	PRON	there
was	AUX	be
a	DET	a
good	ADJ	good
deal	NOUN	deal
of	ADP	of
Tory	PROPN	Tory
leaven	NOUN	leaven
left	VERB	leave
.	PUNCT	.
Besides	SCONJ	besides
,	PUNCT	,
centuries	NOUN	century
generally	ADV	generally
run	VERB	run
slower	ADV	slow
than	ADP	than
is	AUX	be
expected	VERB	expect
,	PUNCT	,
especially	ADV	especially
after	ADP	after
beginning	VERB	begin
with	ADP	with
an	DET	an
impulse	NOUN	impulse
.	PUNCT	.
But	CCONJ	but
the	DET	the
new	ADJ	new
order	NOUN	order
began	VERB	begin
then	ADV	then
;	PUNCT	;
and	CCONJ	and
the	DET	the
Communists	PROPN	Communists
have	AUX	have
never	ADV	never
suffered	VERB	suffer
a	DET	a
serious	ADJ	serious
reverse	NOUN	reverse
since	SCONJ	since
,	PUNCT	,
except	SCONJ	except
the	DET	the
little	ADJ	little
one	NOUN	one
in	ADP	in
'	NUM	'
25	NUM	25
.	PUNCT	.
Blenkin	PROPN	Blenkin
founded	VERB	found
‘	PUNCT	'
The	DET	the
New	PROPN	New
People	PROPN	People
'	PUNCT	'
then	ADV	then
;	PUNCT	;
and	CCONJ	and
the	DET	the
‘	PUNCT	'
Times	PROPN	Times
'	PUNCT	'
dropped	VERB	drop
out	ADP	out
;	PUNCT	;
but	CCONJ	but
it	PRON	it
was	AUX	be
not	PART	not
,	PUNCT	,
strangely	ADV	strangely
enough	ADV	enough
,	PUNCT	,
till	SCONJ	till
'	NUM	'
35	NUM	35
that	SCONJ	that
the	DET	the
House	PROPN	House
of	ADP	of
Lords	PROPN	Lords
fell	VERB	fall
for	ADP	for
the	DET	the
last	ADJ	last
time	NOUN	time
.	PUNCT	.
The	DET	the
Established	PROPN	Established
Church	PROPN	Church
had	AUX	have
gone	VERB	go
finally	ADV	finally
in	ADP	in
'	NUM	'
29	NUM	29
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
And	CCONJ	and
the	DET	the
religious	ADJ	religious
effect	NOUN	effect
of	ADP	of
that	DET	that
?	PUNCT	?
”	PUNCT	""""
asked	VERB	ask
Percy	PROPN	Percy
swiftly	ADV	swiftly
,	PUNCT	,
as	ADP	as
the	DET	the
old	ADJ	old
man	NOUN	man
paused	VERB	pause
to	PART	to
cough	VERB	cough
slightly	ADV	slightly
,	PUNCT	,
lifting	VERB	lift
his	PRON	his
inhaler	NOUN	inhaler
.	PUNCT	.
The	DET	the
priest	NOUN	priest
was	AUX	be
anxious	ADJ	anxious
to	PART	to
keep	VERB	keep
to	ADP	to
the	DET	the
point	NOUN	point
.	PUNCT	.
“	PUNCT	""""
It	PRON	it
was	AUX	be
an	DET	an
effect	NOUN	effect
itself	PRON	itself
,	PUNCT	,
”	PUNCT	""""
said	VERB	say
the	DET	the
other	ADJ	other
,	PUNCT	,
“	PUNCT	""""
rather	ADV	rather
than	ADP	than
a	DET	a
cause	NOUN	cause
.	PUNCT	.
You	PRON	you
see	VERB	see
,	PUNCT	,
the	DET	the
Ritualists	PROPN	Ritualists
,	PUNCT	,
as	ADP	as
they	PRON	they
used	VERB	use
to	PART	to
call	VERB	call
them	PRON	they
,	PUNCT	,
after	ADP	after
a	DET	a
desperate	ADJ	desperate
attempt	NOUN	attempt
to	PART	to
get	VERB	get
into	ADP	into
the	DET	the
Labour	PROPN	Labour
swim	NOUN	swim
,	PUNCT	,
came	VERB	come
into	ADP	into
the	DET	the
Church	PROPN	Church
after	ADP	after
the	DET	the
Convocation	NOUN	convocation
of	ADP	of
'	NUM	'
19	NUM	19
,	PUNCT	,
when	SCONJ	when
the	DET	the
Nicene	PROPN	Nicene
Creed	PROPN	Creed
dropped	VERB	drop
out	ADV	out
;	PUNCT	;
and	CCONJ	and
there	PRON	there
was	AUX	be
no	DET	no
real	ADJ	real
enthusiasm	NOUN	enthusiasm
except	SCONJ	except
among	ADP	among
them	PRON	they
.	PUNCT	.
But	CCONJ	but
so	ADV	so
far	ADV	far
as	ADP	as
there	PRON	there
was	AUX	be
an	DET	an
effect	NOUN	effect
from	ADP	from
the	DET	the
final	ADJ	final
Disestablishment	NOUN	disestablishment
,	PUNCT	,
I	PRON	I
think	VERB	think
it	PRON	it
was	AUX	be
that	SCONJ	that
what	PRON	what
was	AUX	be
left	VERB	leave
of	ADP	of
the	DET	the
State	PROPN	State
Church	PROPN	Church
melted	VERB	melt
into	ADP	into
the	DET	the
Free	PROPN	Free
Church	PROPN	Church
,	PUNCT	,
and	CCONJ	and
the	DET	the
Free	PROPN	Free
Church	PROPN	Church
was	AUX	be
,	PUNCT	,
after	ADV	after
all	ADV	all
,	PUNCT	,
nothing	PRON	nothing
more	ADJ	more
than	ADP	than
a	DET	a
little	ADJ	little
sentiment	NOUN	sentiment
.	PUNCT	.
The	DET	the
Bible	PROPN	Bible
was	AUX	be
completely	ADV	completely
given	VERB	give
up	ADP	up
as	ADP	as
an	DET	an
authority	NOUN	authority
after	ADP	after
the	DET	the
renewed	VERB	renew
German	ADJ	german
attacks	NOUN	attack
in	ADP	in
the	DET	the
twenties	NOUN	twenty
;	PUNCT	;
and	CCONJ	and
the	DET	the
Divinity	PROPN	Divinity
of	ADP	of
our	PRON	our
Lord	PROPN	Lord
,	PUNCT	,
some	DET	some
think	VERB	think
,	PUNCT	,
had	AUX	have
gone	VERB	go
all	DET	all
but	SCONJ	but
in	ADP	in
name	NOUN	name
by	ADP	by
the	DET	the
beginning	NOUN	beginning
of	ADP	of
the	DET	the
century	NOUN	century
.	PUNCT	.
The	DET	the
Kenotic	ADJ	kenotic
theory	NOUN	theory
had	AUX	have
provided	VERB	provide
for	ADP	for
that	DET	that
.	PUNCT	.
Then	ADV	then
there	PRON	there
was	AUX	be
that	DET	that
strange	ADJ	strange
little	ADJ	little
movement	NOUN	movement
among	ADP	among
the	DET	the
Free	PROPN	Free
Churchmen	PROPN	Churchmen
even	ADV	even
earlier	ADV	early
;	PUNCT	;
when	SCONJ	when
ministers	NOUN	minister
who	PRON	who
did	AUX	do
no	DET	no
more	ADJ	more
