[	PUNCT	[
envied	VERB	envy
him	PRON	he
.	PUNCT	.
Burr	PROPN	Burr
had	AUX	have
not	PART	not
been	AUX	be
talking	VERB	talk
twenty	NUM	twenty
minutes	NOUN	minute
with	ADP	with
the	DET	the
commander	NOUN	commander
before	ADP	before
he	PRON	he
asked	VERB	ask
him	PRON	he
to	PART	to
send	VERB	send
for	ADP	for
Lieutenant	PROPN	Lieutenant
Nolan	PROPN	Nolan
.	PUNCT	.
Then	ADV	then
after	ADP	after
a	DET	a
little	ADJ	little
talk	NOUN	talk
he	PRON	he
asked	VERB	ask
Nolan	PROPN	Nolan
if	SCONJ	if
he	PRON	he
could	AUX	could
show	VERB	show
him	PRON	he
something	PRON	something
of	ADP	of
the	DET	the
great	ADJ	great
river	NOUN	river
and	CCONJ	and
the	DET	the
plans	NOUN	plan
for	ADP	for
the	DET	the
new	ADJ	new
post	NOUN	post
.	PUNCT	.
He	PRON	he
asked	VERB	ask
Nolan	PROPN	Nolan
to	PART	to
take	VERB	take
him	PRON	he
out	ADP	out
in	ADP	in
his	PRON	his
skiff	NOUN	skiff
to	PART	to
show	VERB	show
him	PRON	he
a	DET	a
canebrake	NOUN	canebrake
or	CCONJ	or
a	DET	a
cotton	NOUN	cotton
-	PUNCT	-
wood	NOUN	wood
tree	NOUN	tree
,	PUNCT	,
as	ADP	as
he	PRON	he
said,--really	ADV	said,--really
to	PART	to
seduce	VERB	seduce
him	PRON	he
;	PUNCT	;
and	CCONJ	and
by	ADP	by
the	DET	the
time	NOUN	time
the	DET	the
sail	NOUN	sail
was	AUX	be
over	ADV	over
,	PUNCT	,
Nolan	PROPN	Nolan
was	AUX	be
enlisted	VERB	enlist
body	NOUN	body
and	CCONJ	and
soul	NOUN	soul
.	PUNCT	.
From	ADP	from
that	DET	that
time	NOUN	time
,	PUNCT	,
though	SCONJ	though
he	PRON	he
did	AUX	do
not	PART	not
yet	ADV	yet
know	VERB	know
it	PRON	it
,	PUNCT	,
he	PRON	he
lived	VERB	live
as	ADP	as
A	DET	a
MAN	NOUN	man
WITHOUT	ADP	without
A	DET	a
COUNTRY	NOUN	country
.	PUNCT	.
What	PRON	what
Burr	PROPN	Burr
meant	VERB	mean
to	PART	to
do	AUX	do
I	PRON	I
know	VERB	know
no	DET	no
more	ADV	more
than	ADP	than
you	PRON	you
,	PUNCT	,
dear	ADJ	dear
reader	NOUN	reader
.	PUNCT	.
It	PRON	it
is	AUX	be
none	NOUN	none
of	ADP	of
our	PRON	our
business	NOUN	business
just	ADV	just
now	ADV	now
.	PUNCT	.
Only	ADV	only
,	PUNCT	,
when	SCONJ	when
the	DET	the
grand	ADJ	grand
catastrophe	NOUN	catastrophe
came	VERB	come
,	PUNCT	,
and	CCONJ	and
Jefferson	PROPN	Jefferson
and	CCONJ	and
the	DET	the
House	PROPN	House
of	ADP	of
Virginia	PROPN	Virginia
of	ADP	of
that	DET	that
day	NOUN	day
undertook	VERB	undertake
to	PART	to
break	VERB	break
on	ADP	on
the	DET	the
wheel	NOUN	wheel
all	DET	all
the	DET	the
possible	ADJ	possible
Clarences	PROPN	Clarences
of	ADP	of
the	DET	the
then	ADV	then
House	PROPN	House
of	ADP	of
York	PROPN	York
,	PUNCT	,
by	ADP	by
the	DET	the
great	ADJ	great
treason	NOUN	treason
trial	NOUN	trial
at	ADP	at
Richmond	PROPN	Richmond
,	PUNCT	,
some	DET	some
of	ADP	of
the	DET	the
lesser	ADJ	less
fry	NOUN	fry
in	ADP	in
that	DET	that
distant	ADJ	distant
Mississippi	PROPN	Mississippi
Valley	PROPN	Valley
,	PUNCT	,
which	DET	which
was	AUX	be
farther	ADJ	farth
from	ADP	from
us	PRON	we
than	ADP	than
Puget	PROPN	Puget
's	PART	's
Sound	PROPN	Sound
is	AUX	be
to	ADP	to
-	PUNCT	-
day	NOUN	day
,	PUNCT	,
introduced	VERB	introduce
the	DET	the
like	ADJ	like
novelty	NOUN	novelty
on	ADP	on
their	PRON	their
provincial	ADJ	provincial
stage	NOUN	stage
;	PUNCT	;
and	CCONJ	and
,	PUNCT	,
to	PART	to
while	VERB	while
away	ADP	away
the	DET	the
monotony	NOUN	monotony
of	ADP	of
the	DET	the
summer	NOUN	summer
at	ADP	at
Fort	PROPN	Fort
Adams	PROPN	Adams
,	PUNCT	,
got	VERB	get
up	ADP	up
,	PUNCT	,
for	ADP	for
spectacles	NOUN	spectacle
,	PUNCT	,
a	DET	a
string	NOUN	string
of	ADP	of
court	NOUN	court
-	PUNCT	-
martials	NOUN	martial
on	ADP	on
the	DET	the
officers	NOUN	officer
there	ADV	there
.	PUNCT	.
One	NUM	one
and	CCONJ	and
another	DET	another
of	ADP	of
the	DET	the
colonels	NOUN	colonel
and	CCONJ	and
majors	NOUN	major
were	AUX	be
tried	VERB	try
,	PUNCT	,
and	CCONJ	and
,	PUNCT	,
to	PART	to
fill	VERB	fill
out	ADP	out
the	DET	the
list	NOUN	list
,	PUNCT	,
little	ADJ	little
Nolan	PROPN	Nolan
,	PUNCT	,
against	ADP	against
whom	PRON	whom
,	PUNCT	,
Heaven	PROPN	Heaven
knows	VERB	know
,	PUNCT	,
there	PRON	there
was	AUX	be
evidence	NOUN	evidence
enough,--that	PUNCT	enough,--that
he	PRON	he
was	AUX	be
sick	ADJ	sick
of	ADP	of
the	DET	the
service	NOUN	service
,	PUNCT	,
had	AUX	have
been	AUX	be
willing	ADJ	willing
to	PART	to
be	AUX	be
false	ADJ	false
to	ADP	to
it	PRON	it
,	PUNCT	,
and	CCONJ	and
would	AUX	would
have	AUX	have
obeyed	VERB	obey
any	DET	any
order	NOUN	order
to	PART	to
march	VERB	march
any	DET	any
-	PUNCT	-
whither	ADV	whither
with	ADP	with
any	DET	any
one	NOUN	one
who	PRON	who
would	AUX	would
follow	VERB	follow
him	PRON	he
had	AUX	have
the	DET	the
order	NOUN	order
been	AUX	be
signed	VERB	sign
,	PUNCT	,
""""	PUNCT	""""
By	ADP	by
command	NOUN	command
of	ADP	of
His	PRON	his
Exc	PROPN	Exc
.	PROPN	.
A.	PROPN	A.
Burr	PROPN	Burr
.	PUNCT	.
""""	PUNCT	""""
The	DET	the
courts	NOUN	court
dragged	VERB	drag
on	ADP	on
.	PUNCT	.
The	DET	the
big	ADJ	big
flies	NOUN	fly
escaped,--rightly	ADV	escaped,--rightly
for	ADP	for
all	DET	all
I	PRON	I
know	VERB	know
.	PUNCT	.
Nolan	PROPN	Nolan
was	AUX	be
proved	VERB	prove
guilty	ADJ	guilty
enough	ADV	enough
,	PUNCT	,
as	ADP	as
I	PRON	I
say	VERB	say
;	PUNCT	;
yet	CCONJ	yet
you	PRON	you
and	CCONJ	and
I	PRON	I
would	AUX	would
never	ADV	never
have	AUX	have
heard	VERB	hear
of	ADP	of
him	PRON	he
,	PUNCT	,
reader	NOUN	reader
,	PUNCT	,
but	CCONJ	but
that	SCONJ	that
,	PUNCT	,
when	SCONJ	when
the	DET	the
president	NOUN	president
of	ADP	of
the	DET	the
court	NOUN	court
asked	VERB	ask
him	PRON	he
at	ADP	at
the	DET	the
close	NOUN	close
whether	SCONJ	whether
he	PRON	he
wished	VERB	wish
to	PART	to
say	VERB	say
anything	PRON	anything
to	PART	to
show	VERB	show
that	SCONJ	that
he	PRON	he
had	AUX	have
always	ADV	always
been	AUX	be
faithful	ADJ	faithful
to	ADP	to
the	DET	the
United	PROPN	United
States	PROPN	States
,	PUNCT	,
he	PRON	he
cried	VERB	cry
out	ADP	out
,	PUNCT	,
in	ADP	in
a	DET	a
fit	NOUN	fit
of	ADP	of
frenzy,--	NOUN	frenzy,--
""""	PUNCT	""""
Damn	VERB	damn
the	DET	the
United	PROPN	United
States	PROPN	States
!	PUNCT	!
I	PRON	I
wish	VERB	wish
I	PRON	I
may	AUX	may
never	ADV	never
hear	VERB	hear
of	ADP	of
the	DET	the
United	PROPN	United
States	PROPN	States
again	ADV	again
!	PUNCT	!
""""	PUNCT	""""
I	PRON	I
suppose	VERB	suppose
he	PRON	he
did	AUX	do
not	PART	not
know	VERB	know
how	SCONJ	how
the	DET	the
words	NOUN	word
shocked	VERB	shock
old	ADJ	old
Colonel	PROPN	Colonel
Morgan	PROPN	Morgan
,	PUNCT	,
[	X	[
Note	NOUN	note
6	NUM	6
]	X	]
who	PRON	who
was	AUX	be
holding	VERB	hold
the	DET	the
court	NOUN	court
.	PUNCT	.
Half	DET	half
the	DET	the
officers	NOUN	officer
who	PRON	who
sat	VERB	sit
in	ADP	in
it	PRON	it
had	AUX	have
served	VERB	serve
through	ADP	through
the	DET	the
Revolution	PROPN	Revolution
,	PUNCT	,
and	CCONJ	and
their	PRON	their
lives	NOUN	life
,	PUNCT	,
not	PART	not
to	PART	to
say	VERB	say
their	PRON	their
necks	NOUN	neck
,	PUNCT	,
had	AUX	have
been	AUX	be
risked	VERB	risk
for	ADP	for
the	DET	the
very	ADJ	very
idea	NOUN	idea
which	DET	which
he	PRON	he
so	ADV	so
cavalierly	ADV	cavalierly
cursed	VERB	curse
in	ADP	in
his	PRON	his
madness	NOUN	madness
.	PUNCT	.
He	PRON	he
,	PUNCT	,
on	ADP	on
his	PRON	his
part	NOUN	part
,	PUNCT	,
had	AUX	have
grown	VERB	grow
up	ADP	up
in	ADP	in
the	DET	the
West	PROPN	West
of	ADP	of
those	DET	those
days	NOUN	day
,	PUNCT	,
in	ADP	in
the	DET	the
midst	NOUN	midst
of	ADP	of
""""	PUNCT	""""
Spanish	ADJ	spanish
plot	NOUN	plot
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
Orleans	PROPN	Orleans
plot	NOUN	plot
,	PUNCT	,
""""	PUNCT	""""
and	CCONJ	and
all	DET	all
the	DET	the
rest	NOUN	rest
.	PUNCT	.
He	PRON	he
had	AUX	have
been	AUX	be
educated	VERB	educate
on	ADP	on
a	DET	a
plantation	NOUN	plantation
where	SCONJ	where
the	DET	the
finest	ADJ	fine
company	NOUN	company
was	AUX	be
a	DET	a
Spanish	ADJ	spanish
officer	NOUN	officer
or	CCONJ	or
a	DET	a
French	ADJ	french
merchant	NOUN	merchant
from	ADP	from
Orleans	PROPN	Orleans
.	PUNCT	.
His	PRON	his
education	NOUN	education
,	PUNCT	,
such	ADJ	such
as	ADP	as
it	PRON	it
was	AUX	be
,	PUNCT	,
had	AUX	have
been	AUX	be
perfected	VERB	perfect
in	ADP	in
commercial	ADJ	commercial
expeditions	NOUN	expedition
to	ADP	to
Vera	PROPN	Vera
Cruz	PROPN	Cruz
,	PUNCT	,
and	CCONJ	and
I	PRON	I
think	VERB	think
he	PRON	he
told	VERB	tell
me	PRON	I
his	PRON	his
father	NOUN	father
once	ADV	once
hired	VERB	hire
an	DET	an
Englishman	NOUN	englishman
to	PART	to
be	AUX	be
a	DET	a
private	ADJ	private
tutor	NOUN	tutor
for	ADP	for
a	DET	a
winter	NOUN	winter
on	ADP	on
the	DET	the
plantation	NOUN	plantation
.	PUNCT	.
He	PRON	he
had	AUX	have
spent	VERB	spend
half	DET	half
his	PRON	his
youth	NOUN	youth
with	ADP	with
an	DET	an
older	ADJ	old
brother	NOUN	brother
,	PUNCT	,
hunting	VERB	hunt
horses	NOUN	horse
in	ADP	in
Texas	PROPN	Texas
;	PUNCT	;
and	CCONJ	and
,	PUNCT	,
in	ADP	in
a	DET	a
word	NOUN	word
,	PUNCT	,
to	ADP	to
him	PRON	he
""""	PUNCT	""""
United	PROPN	United
States	PROPN	States
""""	PUNCT	""""
was	AUX	be
scarcely	ADV	scarcely
a	DET	a
reality	NOUN	reality
.	PUNCT	.
Yet	CCONJ	yet
he	PRON	he
had	AUX	have
been	AUX	be
fed	VERB	feed
by	ADP	by
""""	PUNCT	""""
United	PROPN	United
States	PROPN	States
""""	PUNCT	""""
for	ADP	for
all	DET	all
the	DET	the
years	NOUN	year
since	SCONJ	since
he	PRON	he
had	AUX	have
been	AUX	be
in	ADP	in
the	DET	the
army	NOUN	army
.	PUNCT	.
He	PRON	he
had	AUX	have
sworn	VERB	swear
on	ADP	on
his	PRON	his
faith	NOUN	faith
as	ADP	as
a	DET	a
Christian	NOUN	christian
to	PART	to
be	AUX	be
true	ADJ	true
to	ADP	to
""""	PUNCT	""""
United	PROPN	United
States	PROPN	States
.	PUNCT	.
""""	PUNCT	""""
It	PRON	it
was	AUX	be
""""	PUNCT	""""
United	PROPN	United
States	PROPN	States
""""	PUNCT	""""
which	DET	which
gave	VERB	give
him	PRON	he
the	DET	the
uniform	NOUN	uniform
he	PRON	he
wore	VERB	wear
,	PUNCT	,
and	CCONJ	and
the	DET	the
sword	NOUN	sword
by	ADP	by
his	PRON	his
side	NOUN	side
.	PUNCT	.
Nay	INTJ	nay
,	PUNCT	,
my	PRON	my
poor	ADJ	poor
Nolan	PROPN	Nolan
,	PUNCT	,
it	PRON	it
was	AUX	be
only	ADV	only
because	SCONJ	because
""""	PUNCT	""""
United	PROPN	United
States	PROPN	States
""""	PUNCT	""""
had	AUX	have
picked	VERB	pick
you	PRON	you
out	ADP	out
first	ADV	first
as	ADP	as
one	NUM	one
of	ADP	of
her	PRON	her
own	ADJ	own
confidential	ADJ	confidential
men	NOUN	man
of	ADP	of
honor	NOUN	honor
that	SCONJ	that
""""	PUNCT	""""
A.	PROPN	A.
Burr	PROPN	Burr
""""	PUNCT	""""
cared	VERB	care
for	ADP	for
you	PRON	you
a	X	a
straw	NOUN	straw
more	ADV	more
than	ADP	than
for	ADP	for
the	DET	the
flat	ADJ	flat
boat	NOUN	boat
men	NOUN	man
who	PRON	who
sailed	VERB	sail
his	PRON	his
ark	NOUN	ark
for	ADP	for
him	PRON	he
.	PUNCT	.
I	PRON	I
do	AUX	do
not	PART	not
excuse	VERB	excuse
Nolan	PROPN	Nolan
;	PUNCT	;
I	PRON	I
only	ADV	only
explain	VERB	explain
to	ADP	to
the	DET	the
reader	NOUN	reader
why	SCONJ	why
he	PRON	he
damned	VERB	damn
his	PRON	his
country	NOUN	country
,	PUNCT	,
and	CCONJ	and
wished	VERB	wish
he	PRON	he
might	AUX	might
never	ADV	never
hear	VERB	hear
her	PRON	her
name	NOUN	name
again	ADV	again
.	PUNCT	.
He	PRON	he
never	ADV	never
did	AUX	do
hear	VERB	hear
her	PRON	her
name	NOUN	name
but	CCONJ	but
once	ADV	once
again	ADV	again
.	PUNCT	.
From	ADP	from
that	DET	that
moment	NOUN	moment
,	PUNCT	,
Sept.	PROPN	Sept.
23	NUM	23
,	PUNCT	,
1807	NUM	1807
,	PUNCT	,
till	SCONJ	till
the	DET	the
day	NOUN	day
he	PRON	he
died	VERB	die
,	PUNCT	,
May	PROPN	May
11	NUM	11
,	PUNCT	,
1863	NUM	1863
,	PUNCT	,
he	PRON	he
never	ADV	never
heard	VERB	hear
her	PRON	her
name	NOUN	name
again	ADV	again
.	PUNCT	.
For	ADP	for
that	DET	that
half	ADJ	half
-	PUNCT	-
century	NOUN	century
and	CCONJ	and
more	ADJ	more
he	PRON	he
was	AUX	be
a	DET	a
man	NOUN	man
without	ADP	without
a	DET	a
country	NOUN	country
.	PUNCT	.
Old	ADJ	old
Morgan	PROPN	Morgan
,	PUNCT	,
as	ADP	as
I	PRON	I
said	VERB	say
,	PUNCT	,
was	AUX	be
terribly	ADV	terribly
shocked	VERB	shock
.	PUNCT	.
If	SCONJ	if
Nolan	PROPN	Nolan
had	AUX	have
compared	VERB	compare
George	PROPN	George
Washington	PROPN	Washington
to	ADP	to
Benedict	PROPN	Benedict
Arnold	PROPN	Arnold
,	PUNCT	,
or	CCONJ	or
had	AUX	have
cried	VERB	cry
,	PUNCT	,
""""	PUNCT	""""
God	PROPN	God
save	VERB	save
King	PROPN	King
George	PROPN	George
,	PUNCT	,
""""	PUNCT	""""
Morgan	PROPN	Morgan
would	AUX	would
not	PART	not
have	AUX	have
felt	VERB	feel
worse	ADJ	bad
.	PUNCT	.
He	PRON	he
called	VERB	call
the	DET	the
court	NOUN	court
into	ADP	into
his	PRON	his
private	ADJ	private
room	NOUN	room
,	PUNCT	,
and	CCONJ	and
returned	VERB	return
in	ADP	in
fifteen	NUM	fifteen
minutes	NOUN	minute
,	PUNCT	,
with	ADP	with
a	DET	a
face	NOUN	face
like	ADP	like
a	DET	a
sheet	NOUN	sheet
,	PUNCT	,
to	PART	to
say,--	PUNCT	say,--
""""	PUNCT	""""
Prisoner	NOUN	prisoner
,	PUNCT	,
hear	VERB	hear
the	DET	the
sentence	NOUN	sentence
of	ADP	of
the	DET	the
Court	PROPN	Court
!	PUNCT	!
The	DET	the
Court	PROPN	Court
decides	VERB	decide
,	PUNCT	,
subject	ADJ	subject
to	ADP	to
the	DET	the
approval	NOUN	approval
of	ADP	of
the	DET	the
President	PROPN	President
,	PUNCT	,
that	SCONJ	that
you	PRON	you
never	ADV	never
hear	VERB	hear
the	DET	the
name	NOUN	name
of	ADP	of
the	DET	the
United	PROPN	United
States	PROPN	States
again	ADV	again
.	PUNCT	.
""""	PUNCT	""""
Nolan	PROPN	Nolan
laughed	VERB	laugh
.	PUNCT	.
But	CCONJ	but
nobody	PRON	nobody
else	ADV	else
laughed	VERB	laugh
.	PUNCT	.
Old	ADJ	old
Morgan	PROPN	Morgan
was	AUX	be
too	ADV	too
solemn	ADJ	solemn
,	PUNCT	,
and	CCONJ	and
the	DET	the
whole	ADJ	whole
room	NOUN	room
was	AUX	be
hushed	VERB	hush
dead	ADJ	dead
as	ADP	as
night	NOUN	night
for	ADP	for
a	DET	a
minute	NOUN	minute
.	PUNCT	.
Even	ADV	even
Nolan	PROPN	Nolan
lost	VERB	lose
his	PRON	his
swagger	NOUN	swagger
in	ADP	in
a	DET	a
moment	NOUN	moment
.	PUNCT	.
Then	ADV	then
Morgan	PROPN	Morgan
added,--	PUNCT	added,--
""""	PUNCT	""""
Mr.	PROPN	Mr.
Marshal	PROPN	Marshal
,	PUNCT	,
take	VERB	take
the	DET	the
prisoner	NOUN	prisoner
to	ADP	to
Orleans	PROPN	Orleans
in	ADP	in
an	DET	an
armed	ADJ	armed
boat	NOUN	boat
,	PUNCT	,
and	CCONJ	and
deliver	VERB	deliver
him	PRON	he
to	ADP	to
the	DET	the
naval	ADJ	naval
commander	NOUN	commander
there	ADV	there
.	PUNCT	.
""""	PUNCT	""""
The	DET	the
marshal	NOUN	marshal
gave	VERB	give
his	PRON	his
orders	NOUN	order
and	CCONJ	and
the	DET	the
prisoner	NOUN	prisoner
was	AUX	be
taken	VERB	take
out	ADP	out
of	ADP	of
court	NOUN	court
.	PUNCT	.
""""	PUNCT	""""
Mr.	PROPN	Mr.
Marshal	PROPN	Marshal
,	PUNCT	,
""""	PUNCT	""""
continued	VERB	continue
old	ADJ	old
Morgan	PROPN	Morgan
,	PUNCT	,
""""	PUNCT	""""
see	VERB	see
that	SCONJ	that
no	DET	no
one	NOUN	one
mentions	VERB	mention
the	DET	the
United	PROPN	United
States	PROPN	States
to	ADP	to
the	DET	the
prisoner	NOUN	prisoner
.	PUNCT	.
Mr.	PROPN	Mr.
Marshal	PROPN	Marshal
,	PUNCT	,
make	VERB	make
my	PRON	my
respects	NOUN	respect
to	ADP	to
Lieutenant	PROPN	Lieutenant
Mitchell	PROPN	Mitchell
at	ADP	at
Orleans	PROPN	Orleans
,	PUNCT	,
and	CCONJ	and
request	VERB	request
him	PRON	he
to	PART	to
order	VERB	order
that	SCONJ	that
no	DET	no
one	NOUN	one
shall	AUX	shall
mention	VERB	mention
the	DET	the
United	PROPN	United
States	PROPN	States
to	ADP	to
the	DET	the
prisoner	NOUN	prisoner
while	SCONJ	while
he	PRON	he
is	AUX	be
on	ADP	on
board	NOUN	board
ship	NOUN	ship
.	PUNCT	.
You	PRON	you
will	AUX	will
receive	VERB	receive
your	PRON	your
written	VERB	write
orders	NOUN	order
from	ADP	from
the	DET	the
officer	NOUN	officer
on	ADP	on
duty	NOUN	duty
here	ADV	here
this	DET	this
evening	NOUN	evening
.	PUNCT	.
The	DET	the
Court	NOUN	court
is	AUX	be
adjourned	VERB	adjourn
without	ADP	without
day	NOUN	day
.	PUNCT	.
""""	PUNCT	""""
I	PRON	I
have	AUX	have
always	ADV	always
supposed	VERB	suppose
that	SCONJ	that
Colonel	PROPN	Colonel
Morgan	PROPN	Morgan
himself	PRON	himself
took	VERB	take
the	DET	the
proceedings	NOUN	proceeding
of	ADP	of
the	DET	the
court	NOUN	court
to	ADP	to
Washington	PROPN	Washington
city	NOUN	city
,	PUNCT	,
and	CCONJ	and
explained	VERB	explain
them	PRON	they
to	ADP	to
Mr.	PROPN	Mr.
Jefferson	PROPN	Jefferson
.	PUNCT	.
Certain	ADJ	certain
it	PRON	it
is	AUX	be
that	SCONJ	that
the	DET	the
President	PROPN	President
approved	VERB	approve
them,--certain	PUNCT	them,--certain
,	PUNCT	,
that	DET	that
is	AUX	be
,	PUNCT	,
if	SCONJ	if
I	PRON	I
may	AUX	may
believe	VERB	believe
the	DET	the
men	NOUN	man
who	PRON	who
say	VERB	say
they	PRON	they
have	AUX	have
seen	VERB	see
his	PRON	his
signature	NOUN	signature
.	PUNCT	.
Before	ADP	before
the	DET	the
""""	PUNCT	""""
Nautilus	PROPN	Nautilus
""""	PUNCT	""""
got	VERB	get
round	ADV	round
from	ADP	from
New	PROPN	New
Orleans	PROPN	Orleans
to	ADP	to
the	DET	the
Northern	PROPN	Northern
Atlantic	PROPN	Atlantic
coast	NOUN	coast
with	ADP	with
the	DET	the
prisoner	NOUN	prisoner
on	ADP	on
board	NOUN	board
,	PUNCT	,
the	DET	the
sentence	NOUN	sentence
had	AUX	have
been	AUX	be
approved	VERB	approve
,	PUNCT	,
and	CCONJ	and
he	PRON	he
was	AUX	be
a	DET	a
man	NOUN	man
without	ADP	without
a	DET	a
country	NOUN	country
.	PUNCT	.
The	DET	the
plan	NOUN	plan
then	ADV	then
adopted	VERB	adopt
was	AUX	be
substantially	ADV	substantially
the	DET	the
same	ADJ	same
which	DET	which
was	AUX	be
necessarily	ADV	necessarily
followed	VERB	follow
ever	ADV	ever
after	ADV	after
.	PUNCT	.
Perhaps	ADV	perhaps
it	PRON	it
was	AUX	be
suggested	VERB	suggest
by	ADP	by
the	DET	the
necessity	NOUN	necessity
of	ADP	of
sending	VERB	send
him	PRON	he
by	ADP	by
water	NOUN	water
from	ADP	from
Fort	PROPN	Fort
Adams	PROPN	Adams
and	CCONJ	and
Orleans	PROPN	Orleans
.	PUNCT	.
The	DET	the
Secretary	PROPN	Secretary
of	ADP	of
the	DET	the
Navy	PROPN	Navy
--	PUNCT	--
it	PRON	it
must	AUX	must
have	AUX	have
been	AUX	be
the	DET	the
first	ADJ	first
Crowninshield	PROPN	Crowninshield
,	PUNCT	,
though	SCONJ	though
he	PRON	he
is	AUX	be
a	DET	a
man	NOUN	man
I	PRON	I
do	AUX	do
not	PART	not
remember	VERB	remember
--	PUNCT	--
was	AUX	be
requested	VERB	request
to	PART	to
put	VERB	put
Nolan	PROPN	Nolan
on	ADP	on
board	NOUN	board
a	DET	a
government	NOUN	government
vessel	NOUN	vessel
bound	VERB	bind
on	ADP	on
a	DET	a
long	ADJ	long
cruise	NOUN	cruise
,	PUNCT	,
and	CCONJ	and
to	PART	to
direct	VERB	direct
that	SCONJ	that
he	PRON	he
should	AUX	should
be	AUX	be
only	ADV	only
so	ADV	so
far	ADV	far
confined	VERB	confine
there	ADV	there
as	ADP	as
to	PART	to
make	VERB	make
it	PRON	it
certain	ADJ	certain
that	SCONJ	that
he	PRON	he
never	ADV	never
saw	VERB	see
or	CCONJ	or
heard	VERB	hear
of	ADP	of
the	DET	the
country	NOUN	country
.	PUNCT	.
We	PRON	we
had	AUX	have
few	ADJ	few
long	ADJ	long
cruises	NOUN	cruise
then	ADV	then
,	PUNCT	,
and	CCONJ	and
the	DET	the
navy	NOUN	navy
was	AUX	be
very	ADV	very
much	ADV	much
out	ADP	out
of	ADP	of
favor	NOUN	favor
;	PUNCT	;
and	CCONJ	and
as	ADP	as
almost	ADV	almost
all	DET	all
of	ADP	of
this	DET	this
story	NOUN	story
is	AUX	be
traditional	ADJ	traditional
,	PUNCT	,
as	ADP	as
I	PRON	I
have	AUX	have
explained	VERB	explain
,	PUNCT	,
I	PRON	I
do	AUX	do
not	PART	not
know	VERB	know
certainly	ADV	certainly
what	PRON	what
his	PRON	his
first	ADJ	first
cruise	NOUN	cruise
was	AUX	be
.	PUNCT	.
But	CCONJ	but
the	DET	the
commander	NOUN	commander
to	PART	to
whom	PRON	whom
he	PRON	he
was	AUX	be
intrusted,--perhaps	VERB	intrusted,--perhap
it	PRON	it
was	AUX	be
Tingey	PROPN	Tingey
or	CCONJ	or
Shaw	PROPN	Shaw
,	PUNCT	,
though	SCONJ	though
I	PRON	I
think	VERB	think
it	PRON	it
was	AUX	be
one	NUM	one
of	ADP	of
the	DET	the
younger	ADJ	young
men,--we	NOUN	men,--we
are	AUX	be
all	DET	all
old	ADJ	old
enough	ADV	enough
now,---regulated	PUNCT	now,---regulated
the	DET	the
etiquette	NOUN	etiquette
and	CCONJ	and
the	DET	the
precautions	NOUN	precaution
of	ADP	of
the	DET	the
affair	NOUN	affair
,	PUNCT	,
and	CCONJ	and
according	VERB	accord
to	ADP	to
his	PRON	his
scheme	NOUN	scheme
they	PRON	they
were	AUX	be
carried	VERB	carry
out	ADP	out
,	PUNCT	,
I	PRON	I
suppose	VERB	suppose
,	PUNCT	,
till	SCONJ	till
Nolan	PROPN	Nolan
died	VERB	die
.	PUNCT	.
When	SCONJ	when
I	PRON	I
was	AUX	be
second	ADJ	second
officer	NOUN	officer
of	ADP	of
the	DET	the
""""	PUNCT	""""
Intrepid	PROPN	Intrepid
,	PUNCT	,
""""	PUNCT	""""
some	DET	some
thirty	NUM	thirty
years	NOUN	year
after	ADV	after
,	PUNCT	,
I	PRON	I
saw	VERB	see
the	DET	the
original	ADJ	original
paper	NOUN	paper
of	ADP	of
instructions	NOUN	instruction
.	PUNCT	.
I	PRON	I
have	AUX	have
been	AUX	be
sorry	ADJ	sorry
ever	ADV	ever
since	ADV	since
that	SCONJ	that
I	PRON	I
did	AUX	do
not	PART	not
copy	VERB	copy
the	DET	the
whole	NOUN	whole
of	ADP	of
it	PRON	it
.	PUNCT	.
It	PRON	it
ran	VERB	run
,	PUNCT	,
however	ADV	however
,	PUNCT	,
much	ADV	much
in	ADP	in
this	DET	this
way:--	PUNCT	way:--
""""	PUNCT	""""
WASHINGTON	PROPN	WASHINGTON
(	PUNCT	(
with	ADP	with
a	DET	a
date	NOUN	date
,	PUNCT	,
which	DET	which
must	AUX	must
have	AUX	have
been	AUX	be
late	ADJ	late
in	ADP	in
1807	NUM	1807
)	PUNCT	)
.	PUNCT	.
""""	PUNCT	""""
Sir,--You	PRON	sir,--you
will	AUX	will
receive	VERB	receive
from	ADP	from
Lieutenant	PROPN	Lieutenant
Neale	PROPN	Neale
the	DET	the
person	NOUN	person
of	ADP	of
Philip	PROPN	Philip
Nolan	PROPN	Nolan
,	PUNCT	,
late	ADJ	late
a	DET	a
lieutenant	NOUN	lieutenant
in	ADP	in
the	DET	the
United	PROPN	United
States	PROPN	States
army	NOUN	army
.	PUNCT	.
""""	PUNCT	""""
This	DET	this
person	NOUN	person
on	ADP	on
his	PRON	his
trial	NOUN	trial
by	ADP	by
court	NOUN	court
-	PUNCT	-
martial	NOUN	martial
expressed	VERB	express
,	PUNCT	,
with	ADP	with
an	DET	an
oath	NOUN	oath
,	PUNCT	,
the	DET	the
wish	NOUN	wish
that	SCONJ	that
he	PRON	he
might	AUX	might
'	PUNCT	'
never	ADV	never
hear	VERB	hear
of	ADP	of
the	DET	the
United	PROPN	United
States	PROPN	States
again	ADV	again
.	PUNCT	.
'	PUNCT	'
""""	PUNCT	""""
The	DET	the
Court	NOUN	court
