Twenty	NUM	twenty
various	ADJ	various
log	NOUN	log
-	PUNCT	-
books	NOUN	book
)	PUNCT	)
agreed	VERB	agree
in	ADP	in
most	ADJ	most
respects	NOUN	respect
as	ADP	as
to	ADP	to
the	DET	the
shape	NOUN	shape
of	ADP	of
the	DET	the
object	NOUN	object
or	CCONJ	or
creature	NOUN	creature
in	ADP	in
question	NOUN	question
,	PUNCT	,
the	DET	the
untiring	ADJ	untiring
rapidity	NOUN	rapidity
of	ADP	of
its	PRON	its
movements	NOUN	movement
,	PUNCT	,
its	PRON	its
surprising	ADJ	surprising
power	NOUN	power
of	ADP	of
locomotion	NOUN	locomotion
,	PUNCT	,
and	CCONJ	and
the	DET	the
peculiar	ADJ	peculiar
life	NOUN	life
with	ADP	with
which	DET	which
it	PRON	it
seemed	VERB	seem
endowed	VERB	endow
.	PUNCT	.
If	SCONJ	if
it	PRON	it
was	AUX	be
a	DET	a
cetacean	NOUN	cetacean
,	PUNCT	,
it	PRON	it
surpassed	VERB	surpass
in	ADP	in
size	NOUN	size
all	DET	all
those	DET	those
hitherto	ADV	hitherto
classified	VERB	classify
in	ADP	in
science	NOUN	science
.	PUNCT	.
Taking	VERB	take
into	ADP	into
consideration	NOUN	consideration
the	DET	the
mean	NOUN	mean
of	ADP	of
observations	NOUN	observation
made	VERB	make
at	ADP	at
divers	X	divers
times,—rejecting	VERB	times,—rejecte
the	DET	the
timid	ADJ	timid
estimate	NOUN	estimate
of	ADP	of
those	DET	those
who	PRON	who
assigned	VERB	assign
to	ADP	to
this	DET	this
object	NOUN	object
a	DET	a
length	NOUN	length
of	ADP	of
two	NUM	two
hundred	NUM	hundred
feet	NOUN	foot
,	PUNCT	,
equally	ADV	equally
with	ADP	with
the	DET	the
exaggerated	NOUN	exaggerated
opinions	NOUN	opinion
which	DET	which
set	VERB	set
it	PRON	it
down	ADP	down
as	ADP	as
a	DET	a
mile	NOUN	mile
in	ADP	in
width	NOUN	width
and	CCONJ	and
three	NUM	three
in	ADP	in
length,—we	NOUN	length,—we
might	AUX	might
fairly	ADV	fairly
conclude	VERB	conclude
that	SCONJ	that
this	DET	this
mysterious	ADJ	mysterious
being	NOUN	being
surpassed	VERB	surpass
greatly	ADV	greatly
all	DET	all
dimensions	NOUN	dimension
admitted	VERB	admit
by	ADP	by
the	DET	the
ichthyologists	NOUN	ichthyologist
of	ADP	of
the	DET	the
day	NOUN	day
,	PUNCT	,
if	SCONJ	if
it	PRON	it
existed	VERB	exist
at	ADV	at
all	ADV	all
.	PUNCT	.
And	CCONJ	and
that	SCONJ	that
it	PRON	it
_	PUNCT	_
did	AUX	do
