id	title	author	authoryearofbirth	authoryearofdeath	subgenre	historical	scifi	lovestory	detective	downloads	type	subjects	language	length
PG14211	Wanted—A Match Maker	Ford, Paul Leicester	1865	1902	lovestory	no	no	yes	no	30	Text	{'Love stories', 'New York (N.Y.) -- Fiction', 'Medical fiction'}	['en']	14073
PG69685	Just sweethearts: A Christmas love story	Edwards, Harry Stillwell	1855	1938	lovestory	no	no	yes	no	30	Text	{'Christmas stories', 'Love stories'}	['en']	14077
PG50274	The Little House	Dawson, Coningsby	1883	1959	lovestory	no	no	yes	no	27	Text	{'Christmas stories', 'Widows -- Fiction', 'World War, 1914-1918 -- Fiction', 'Love stories', 'Soldiers -- Fiction'}	['en']	14135
PG1551	A Cathedral Courtship	Wiggin, Kate Douglas Smith	1856	1923	lovestory	no	no	yes	no	23	Text	{'Love stories', 'England -- Description and travel -- Fiction', 'Diary fiction', 'Americans -- England -- Fiction'}	['en']	14147
PG64341	Moon of Danger	dePina, Albert		1957	scifi	no	yes	no	no	43	Text	{'Adventure stories', 'War stories', 'Space ships -- Fiction', 'Science fiction', 'Martians -- Fiction'}	['en']	14215
PG51233	The Marching Morons	Kornbluth, C. M. (Cyril M.)	1923	1958	scifi	no	yes	no	no	1106	Text	{'Science fiction'}	['en']	14253
PG36497	The Happy Hypocrite: A Fairy Tale for Tired Men	Beerbohm, Max, Sir	1872	1956	lovestory	no	no	yes	no	159	Text	{'Fantasy fiction', 'Love stories', 'England -- Social life and customs -- 19th century -- Fiction', 'Masks -- Fiction'}	['en']	14299
PG18861	Temple Trouble	Piper, H. Beam	1904	1964	scifi	no	yes	no	no	62	Text	{'Science fiction'}	['en']	14473
PG22806	The Bronze Hand: 1897	Green, Anna Katharine	1846	1935	detective	no	no	no	yes	39	Text	{'Detective and mystery stories', 'Jewelry theft -- Fiction'}	['en']	14474
PG19067	Police Operation	Piper, H. Beam	1904	1964	scifi	no	yes	no	no	83	Text	{'Science fiction'}	['en']	14727
PG18584	The Edge of the Knife	Piper, H. Beam	1904	1964	scifi	no	yes	no	no	107	Text	{'Science fiction'}	['en']	15417
PG61810	Revolt in the Ice Empire	Cummings, Ray	1887	1957	scifi	no	yes	no	no	41	Text	{'Asteroids -- Fiction', 'Human-alien encounters -- Fiction', 'Man-woman relationships -- Fiction', 'Space ships -- Fiction', 'Science fiction'}	['en']	15490
PG32663	Ye of Little Faith	Phillips, Rog	1909	1965	scifi	no	yes	no	no	35	Text	{'Science fiction'}	['en']	15517
PG21647	Subspace Survivors	Smith, E. E. (Edward Elmer)	1890	1965	scifi	no	yes	no	no	76	Text	{'Science fiction'}	['en']	15712
PG63524	The Silver Plague	dePina, Albert		1957	scifi	no	yes	no	no	26	Text	{'Epidemics -- Fiction', 'Adventure stories', 'Science fiction', 'Ganymede (Satellite) -- Fiction'}	['en']	15726
PG24389	Blue-Bird Weather	Chambers, Robert W. (Robert William)	1865	1933	lovestory	no	no	yes	no	62	Text	{'Love stories', 'Hunting stories'}	['en']	15836
PG52068	Jim of Hellas, or In Durance Vile; The Troubling of Bethesda Pool	Richards, Laura Elizabeth Howe	1850	1943	lovestory	no	no	yes	no	51	Text	{'Love stories', 'New England -- Social life and customs -- 19th century -- Fiction'}	['en']	16031
PG54273	Locked Doors	Rinehart, Mary Roberts	1876	1958	detective	no	no	no	yes	158	Text	{'Detective and mystery stories', 'Women detectives -- Fiction', 'Nurses -- Fiction'}	['en']	16154
